epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.349,1.20378,1.46128,1.15691,0.97567,0.93708,0.96377,0.63526,1.15213,0.71192,1.1457,0.00333045,0.00333045,0.00333045
2,272.697,1.18817,0.74083,1.13983,0.97724,0.94293,0.96978,0.66357,1.14872,0.56712,1.15704,0.00653185,0.00653185,0.00653185
3,404.153,1.21294,0.70154,1.16935,0.96836,0.93261,0.96329,0.64559,1.20014,0.57896,1.19792,0.00960124,0.00960124,0.00960124
4,532.776,1.22078,0.68443,1.18307,0.98005,0.93434,0.96749,0.66821,1.14301,0.53879,1.17227,0.009406,0.009406,0.009406
5,658.784,1.18771,0.63231,1.16938,0.98489,0.93098,0.96516,0.67452,1.11912,0.51878,1.14818,0.009208,0.009208,0.009208
6,786.935,1.16483,0.6006,1.15584,0.97078,0.93913,0.96753,0.67473,1.12327,0.49693,1.14142,0.00901,0.00901,0.00901
7,916.788,1.15473,0.58423,1.14711,0.98889,0.93913,0.97241,0.68684,1.10945,0.46594,1.13497,0.008812,0.008812,0.008812
8,1044.63,1.14049,0.56473,1.13879,0.98283,0.9462,0.97379,0.68243,1.13007,0.46246,1.14021,0.008614,0.008614,0.008614
9,1174.72,1.12624,0.55348,1.13345,0.9774,0.95217,0.97508,0.68519,1.10775,0.44838,1.13087,0.008416,0.008416,0.008416
10,1303.43,1.12387,0.54394,1.12895,0.98524,0.94326,0.97778,0.6921,1.10039,0.43981,1.12523,0.008218,0.008218,0.008218
11,1432.02,1.11256,0.5293,1.12522,0.98018,0.95109,0.97645,0.695,1.08857,0.43282,1.11702,0.00802,0.00802,0.00802
12,1560.43,1.10617,0.52221,1.11812,0.98588,0.94847,0.9783,0.69346,1.0958,0.43545,1.12239,0.007822,0.007822,0.007822
13,1687.07,1.09825,0.51532,1.11561,0.98553,0.94946,0.97846,0.70227,1.08275,0.42039,1.11516,0.007624,0.007624,0.007624
14,1816.04,1.08958,0.50785,1.11072,0.98756,0.94924,0.98157,0.70271,1.07791,0.40863,1.10715,0.007426,0.007426,0.007426
15,1944.55,1.08539,0.50356,1.11002,0.98386,0.95054,0.98045,0.70269,1.06483,0.40959,1.10693,0.007228,0.007228,0.007228
16,2070.31,1.08031,0.49397,1.10097,0.98874,0.95418,0.98011,0.70731,1.06762,0.39261,1.09833,0.00703,0.00703,0.00703
17,2197.35,1.06912,0.48304,1.09884,0.98821,0.95644,0.98151,0.70539,1.07573,0.39565,1.107,0.006832,0.006832,0.006832
18,2324.69,1.06539,0.48351,1.09485,0.98455,0.95978,0.98295,0.70714,1.07003,0.38864,1.10478,0.006634,0.006634,0.006634
19,2449.68,1.06515,0.47786,1.10169,0.98455,0.95924,0.98546,0.71165,1.06778,0.38463,1.10069,0.006436,0.006436,0.006436
20,2575.77,1.06201,0.47525,1.09433,0.98277,0.95924,0.98415,0.70845,1.06821,0.38152,1.09699,0.006238,0.006238,0.006238
21,2703.03,1.0495,0.46739,1.08575,0.97904,0.9663,0.98346,0.71095,1.07183,0.37711,1.10021,0.00604,0.00604,0.00604
22,2828.13,1.05276,0.46778,1.09097,0.98558,0.96359,0.98374,0.71484,1.05915,0.37159,1.09245,0.005842,0.005842,0.005842
